"train/global_step","glad-glitter-9 - train/ppl","glad-glitter-9 - train/ppl__MIN","glad-glitter-9 - train/ppl__MAX","glad-glitter-9 - _step","glad-glitter-9 - _step__MIN","glad-glitter-9 - _step__MAX","sleek-moon-7 - train/ppl","sleek-moon-7 - train/ppl__MIN","sleek-moon-7 - train/ppl__MAX","sleek-moon-7 - _step","sleek-moon-7 - _step__MIN","sleek-moon-7 - _step__MAX","magic-universe-6 - train/ppl","magic-universe-6 - train/ppl__MIN","magic-universe-6 - train/ppl__MAX","magic-universe-6 - _step","magic-universe-6 - _step__MIN","magic-universe-6 - _step__MAX","visionary-oath-5 - train/ppl","visionary-oath-5 - train/ppl__MIN","visionary-oath-5 - train/ppl__MAX","visionary-oath-5 - _step","visionary-oath-5 - _step__MIN","visionary-oath-5 - _step__MAX"
"1990","","","","","","","","","","","","","24.140895669658455","24.140895669658455","24.140895669658455","403","403","403","","","","","",""
"2000","","","","","","","","","","","","","1","1","1","406","406","406","","","","","",""
"2010","","","","","","","","","","","","","24.23046258885039","24.23046258885039","24.23046258885039","408","408","408","","","","","",""
"2020","","","","","","","","","","","","","23.838629974824933","23.838629974824933","23.838629974824933","410","410","410","","","","","",""
"2030","","","","","","","","","","","","","21.949834794296354","21.949834794296354","21.949834794296354","412","412","412","","","","","",""
"2040","","","","","","","","","","","","","24.1818921656154","24.1818921656154","24.1818921656154","414","414","414","","","","","",""
"2050","","","","","","","","","","","","","24.526583643556137","24.526583643556137","24.526583643556137","416","416","416","","","","","",""
"2060","","","","","","","","","","","","","24.40238286988751","24.40238286988751","24.40238286988751","418","418","418","","","","","",""
"2070","","","","","","","","","","","","","22.717327000751805","22.717327000751805","22.717327000751805","420","420","420","","","","","",""
"2080","","","","","","","","","","","","","23.856892600879963","23.856892600879963","23.856892600879963","422","422","422","","","","","",""
"2090","","","","","","","","","","","","","23.249417965112784","23.249417965112784","23.249417965112784","424","424","424","","","","","",""
"2100","","","","","","","","","","","","","23.031344191371012","23.031344191371012","23.031344191371012","426","426","426","","","","","",""
