"train/global_step","glad-glitter-9 - train/throughput_tokens_per_sec","glad-glitter-9 - train/throughput_tokens_per_sec__MIN","glad-glitter-9 - train/throughput_tokens_per_sec__MAX","glad-glitter-9 - _step","glad-glitter-9 - _step__MIN","glad-glitter-9 - _step__MAX","sleek-moon-7 - train/throughput_tokens_per_sec","sleek-moon-7 - train/throughput_tokens_per_sec__MIN","sleek-moon-7 - train/throughput_tokens_per_sec__MAX","sleek-moon-7 - _step","sleek-moon-7 - _step__MIN","sleek-moon-7 - _step__MAX","magic-universe-6 - train/throughput_tokens_per_sec","magic-universe-6 - train/throughput_tokens_per_sec__MIN","magic-universe-6 - train/throughput_tokens_per_sec__MAX","magic-universe-6 - _step","magic-universe-6 - _step__MIN","magic-universe-6 - _step__MAX","visionary-oath-5 - train/throughput_tokens_per_sec","visionary-oath-5 - train/throughput_tokens_per_sec__MIN","visionary-oath-5 - train/throughput_tokens_per_sec__MAX","visionary-oath-5 - _step","visionary-oath-5 - _step__MIN","visionary-oath-5 - _step__MAX"
"1580","","","","","","","","","","","","","-14.600641755953246","-14.600641755953246","-14.600641755953246","321","321","321","","","","","",""
"1590","","","","","","","","","","","","","-14.692608503225653","-14.692608503225653","-14.692608503225653","323","323","323","","","","","",""
"1600","","","","","","","","","","","","","-14.681125628897039","-14.681125628897039","-14.681125628897039","325","325","325","","","","","",""
"1610","","","","","","","","","","","","","-14.537680818309166","-14.537680818309166","-14.537680818309166","327","327","327","","","","","",""
"1620","","","","","","","","","","","","","-14.650034633695999","-14.650034633695999","-14.650034633695999","329","329","329","","","","","",""
"1630","","","","","","","","","","","","","-14.619385554970398","-14.619385554970398","-14.619385554970398","331","331","331","","","","","",""
"1640","","","","","","","","","","","","","-14.537324959120529","-14.537324959120529","-14.537324959120529","333","333","333","","","","","",""
"1650","","","","","","","","","","","","","-14.697805399383101","-14.697805399383101","-14.697805399383101","335","335","335","","","","","",""
"1660","","","","","","","","","","","","","-14.656643370923423","-14.656643370923423","-14.656643370923423","337","337","337","","","","","",""
"1670","","","","","","","","","","","","","-14.629072083460585","-14.629072083460585","-14.629072083460585","339","339","339","","","","","",""
"1680","","","","","","","","","","","","","-14.693259924905684","-14.693259924905684","-14.693259924905684","341","341","341","","","","","",""
"1690","","","","","","","","","","","","","-14.600779939829234","-14.600779939829234","-14.600779939829234","343","343","343","","","","","",""
"1700","","","","","","","","","","","","","-14.603347141212035","-14.603347141212035","-14.603347141212035","345","345","345","","","","","",""
"1710","","","","","","","","","","","","","-14.676083341707365","-14.676083341707365","-14.676083341707365","347","347","347","","","","","",""
"1720","","","","","","","","","","","","","-14.547744985484526","-14.547744985484526","-14.547744985484526","349","349","349","","","","","",""
"1730","","","","","","","","","","","","","-14.66099485633085","-14.66099485633085","-14.66099485633085","351","351","351","","","","","",""
"1740","","","","","","","","","","","","","-14.64009836148544","-14.64009836148544","-14.64009836148544","353","353","353","","","","","",""
"1750","","","","","","","","","","","","","-14.543616471991795","-14.543616471991795","-14.543616471991795","355","355","355","","","","","",""
"1760","","","","","","","","","","","","","-14.642794427483448","-14.642794427483448","-14.642794427483448","357","357","357","","","","","",""
"1770","","","","","","","","","","","","","-14.698322071948748","-14.698322071948748","-14.698322071948748","359","359","359","","","","","",""
"1780","","","","","","","","","","","","","-12.233463125811204","-12.233463125811204","-12.233463125811204","361","361","361","","","","","",""
"1790","","","","","","","","","","","","","-14.626062292693144","-14.626062292693144","-14.626062292693144","363","363","363","","","","","",""
"1800","","","","","","","","","","","","","-14.65759733865422","-14.65759733865422","-14.65759733865422","365","365","365","","","","","",""
"1810","","","","","","","","","","","","","-14.583395683059265","-14.583395683059265","-14.583395683059265","367","367","367","","","","","",""
"1820","","","","","","","","","","","","","-14.70002203616823","-14.70002203616823","-14.70002203616823","369","369","369","","","","","",""
"1830","","","","","","","","","","","","","-14.575972652049831","-14.575972652049831","-14.575972652049831","371","371","371","","","","","",""
"1840","","","","","","","","","","","","","-14.710342942455961","-14.710342942455961","-14.710342942455961","373","373","373","","","","","",""
"1850","","","","","","","","","","","","","-14.65841695372582","-14.65841695372582","-14.65841695372582","375","375","375","","","","","",""
"1860","","","","","","","","","","","","","-14.550350354777848","-14.550350354777848","-14.550350354777848","377","377","377","","","","","",""
"1870","","","","","","","","","","","","","-14.701464738451454","-14.701464738451454","-14.701464738451454","379","379","379","","","","","",""
"1880","","","","","","","","","","","","","-14.659456011603687","-14.659456011603687","-14.659456011603687","381","381","381","","","","","",""
"1890","","","","","","","","","","","","","-14.53128745683549","-14.53128745683549","-14.53128745683549","383","383","383","","","","","",""
"1900","","","","","","","","","","","","","-14.744158700892617","-14.744158700892617","-14.744158700892617","385","385","385","","","","","",""
