"train/global_step","glad-glitter-9 - train/sequence_loss","glad-glitter-9 - train/sequence_loss__MIN","glad-glitter-9 - train/sequence_loss__MAX","glad-glitter-9 - _step","glad-glitter-9 - _step__MIN","glad-glitter-9 - _step__MAX","sleek-moon-7 - train/sequence_loss","sleek-moon-7 - train/sequence_loss__MIN","sleek-moon-7 - train/sequence_loss__MAX","sleek-moon-7 - _step","sleek-moon-7 - _step__MIN","sleek-moon-7 - _step__MAX","magic-universe-6 - train/sequence_loss","magic-universe-6 - train/sequence_loss__MIN","magic-universe-6 - train/sequence_loss__MAX","magic-universe-6 - _step","magic-universe-6 - _step__MIN","magic-universe-6 - _step__MAX","visionary-oath-5 - train/sequence_loss","visionary-oath-5 - train/sequence_loss__MIN","visionary-oath-5 - train/sequence_loss__MAX","visionary-oath-5 - _step","visionary-oath-5 - _step__MIN","visionary-oath-5 - _step__MAX"
"1270","","","","","","","","","","","","","3.1156993865966798","3.1156993865966798","3.1156993865966798","258","258","258","","","","","",""
"1280","","","","","","","","","","","","","3.2114795684814452","3.2114795684814452","3.2114795684814452","260","260","260","","","","","",""
"1290","","","","","","","","","","","","","3.2514949798583985","3.2514949798583985","3.2514949798583985","262","262","262","","","","","",""
"1300","","","","","","","","","","","","","3.174209403991699","3.174209403991699","3.174209403991699","264","264","264","","","","","",""
"1310","","","","","","","","","","","","","3.179108428955078","3.179108428955078","3.179108428955078","266","266","266","","","","","",""
"1320","","","","","","","","","","","","","3.2362865447998046","3.2362865447998046","3.2362865447998046","268","268","268","","","","","",""
"1330","","","","","","","","","","","","","3.2562892913818358","3.2562892913818358","3.2562892913818358","270","270","270","","","","","",""
"1340","","","","","","","","","","","","","3.1777746200561525","3.1777746200561525","3.1777746200561525","272","272","272","","","","","",""
"1350","","","","","","","","","","","","","3.1821556091308594","3.1821556091308594","3.1821556091308594","274","274","274","","","","","",""
"1360","","","","","","","","","","","","","3.1733366012573243","3.1733366012573243","3.1733366012573243","276","276","276","","","","","",""
"1370","","","","","","","","","","","","","3.252930450439453","3.252930450439453","3.252930450439453","278","278","278","","","","","",""
"1380","","","","","","","","","","","","","3.178739547729492","3.178739547729492","3.178739547729492","280","280","280","","","","","",""
"1390","","","","","","","","","","","","","3.1972118377685548","3.1972118377685548","3.1972118377685548","282","282","282","","","","","",""
"1400","","","","","","","","","","","","","3.2089061737060547","3.2089061737060547","3.2089061737060547","284","284","284","","","","","",""
"1410","","","","","","","","","","","","","3.171384811401367","3.171384811401367","3.171384811401367","286","286","286","","","","","",""
"1420","","","","","","","","","","","","","3.2568294525146486","3.2568294525146486","3.2568294525146486","288","288","288","","","","","",""
"1430","","","","","","","","","","","","","3.2036415100097657","3.2036415100097657","3.2036415100097657","290","290","290","","","","","",""
"1440","","","","","","","","","","","","","3.2031497955322266","3.2031497955322266","3.2031497955322266","292","292","292","","","","","",""
"1450","","","","","","","","","","","","","3.2187885284423827","3.2187885284423827","3.2187885284423827","294","294","294","","","","","",""
"1460","","","","","","","","","","","","","3.1762086868286135","3.1762086868286135","3.1762086868286135","296","296","296","","","","","",""
"1470","","","","","","","","","","","","","3.135489845275879","3.135489845275879","3.135489845275879","298","298","298","","","","","",""
"1480","","","","","","","","","","","","","3.1216403961181642","3.1216403961181642","3.1216403961181642","300","300","300","","","","","",""
"1490","","","","","","","","","","","","","3.177708053588867","3.177708053588867","3.177708053588867","302","302","302","","","","","",""
"1500","","","","","","","","","","","","","0","0","0","305","305","305","","","","","",""
"1510","","","","","","","","","","","","","3.212746810913086","3.212746810913086","3.212746810913086","307","307","307","","","","","",""
"1520","","","","","","","","","","","","","3.1837663650512695","3.1837663650512695","3.1837663650512695","309","309","309","","","","","",""
"1530","","","","","","","","","","","","","3.2230575561523436","3.2230575561523436","3.2230575561523436","311","311","311","","","","","",""
"1540","","","","","","","","","","","","","3.2056350708007812","3.2056350708007812","3.2056350708007812","313","313","313","","","","","",""
"1550","","","","","","","","","","","","","3.1819616317749024","3.1819616317749024","3.1819616317749024","315","315","315","","","","","",""
"1560","","","","","","","","","","","","","3.098833465576172","3.098833465576172","3.098833465576172","317","317","317","","","","","",""
"1570","","","","","","","","","","","","","3.1652027130126954","3.1652027130126954","3.1652027130126954","319","319","319","","","","","",""
"1580","","","","","","","","","","","","","3.1458871841430662","3.1458871841430662","3.1458871841430662","321","321","321","","","","","",""
"1590","","","","","","","","","","","","","3.1274654388427736","3.1274654388427736","3.1274654388427736","323","323","323","","","","","",""
"1600","","","","","","","","","","","","","3.1420434951782226","3.1420434951782226","3.1420434951782226","325","325","325","","","","","",""
"1610","","","","","","","","","","","","","3.1148611068725587","3.1148611068725587","3.1148611068725587","327","327","327","","","","","",""
"1620","","","","","","","","","","","","","3.192479705810547","3.192479705810547","3.192479705810547","329","329","329","","","","","",""
"1630","","","","","","","","","","","","","3.1536447525024416","3.1536447525024416","3.1536447525024416","331","331","331","","","","","",""
"1640","","","","","","","","","","","","","3.1317188262939455","3.1317188262939455","3.1317188262939455","333","333","333","","","","","",""
"1650","","","","","","","","","","","","","3.1184158325195312","3.1184158325195312","3.1184158325195312","335","335","335","","","","","",""
"1660","","","","","","","","","","","","","3.1803794860839845","3.1803794860839845","3.1803794860839845","337","337","337","","","","","",""
"1670","","","","","","","","","","","","","3.1788990020751955","3.1788990020751955","3.1788990020751955","339","339","339","","","","","",""
"1680","","","","","","","","","","","","","3.2164710998535155","3.2164710998535155","3.2164710998535155","341","341","341","","","","","",""
"1690","","","","","","","","","","","","","3.1661828994750976","3.1661828994750976","3.1661828994750976","343","343","343","","","","","",""
"1700","","","","","","","","","","","","","3.0774723052978517","3.0774723052978517","3.0774723052978517","345","345","345","","","","","",""
"1710","","","","","","","","","","","","","3.049120330810547","3.049120330810547","3.049120330810547","347","347","347","","","","","",""
"1720","","","","","","","","","","","","","3.169553756713867","3.169553756713867","3.169553756713867","349","349","349","","","","","",""
"1730","","","","","","","","","","","","","3.241538238525391","3.241538238525391","3.241538238525391","351","351","351","","","","","",""
"1740","","","","","","","","","","","","","3.210192108154297","3.210192108154297","3.210192108154297","353","353","353","","","","","",""
"1750","","","","","","","","","","","","","3.160763740539551","3.160763740539551","3.160763740539551","355","355","355","","","","","",""
"1760","","","","","","","","","","","","","3.1748828887939453","3.1748828887939453","3.1748828887939453","357","357","357","","","","","",""
"1770","","","","","","","","","","","","","3.1138628005981444","3.1138628005981444","3.1138628005981444","359","359","359","","","","","",""
"1780","","","","","","","","","","","","","3.186454963684082","3.186454963684082","3.186454963684082","361","361","361","","","","","",""
"1790","","","","","","","","","","","","","3.210274505615234","3.210274505615234","3.210274505615234","363","363","363","","","","","",""
"1800","","","","","","","","","","","","","3.1032957077026366","3.1032957077026366","3.1032957077026366","365","365","365","","","","","",""
"1810","","","","","","","","","","","","","3.1726770401000977","3.1726770401000977","3.1726770401000977","367","367","367","","","","","",""
"1820","","","","","","","","","","","","","3.093043327331543","3.093043327331543","3.093043327331543","369","369","369","","","","","",""
"1830","","","","","","","","","","","","","3.193465232849121","3.193465232849121","3.193465232849121","371","371","371","","","","","",""
"1840","","","","","","","","","","","","","3.1997419357299806","3.1997419357299806","3.1997419357299806","373","373","373","","","","","",""
"1850","","","","","","","","","","","","","3.181553268432617","3.181553268432617","3.181553268432617","375","375","375","","","","","",""
"1860","","","","","","","","","","","","","3.172476387023926","3.172476387023926","3.172476387023926","377","377","377","","","","","",""
"1870","","","","","","","","","","","","","3.0669498443603516","3.0669498443603516","3.0669498443603516","379","379","379","","","","","",""
"1880","","","","","","","","","","","","","3.1650604248046874","3.1650604248046874","3.1650604248046874","381","381","381","","","","","",""
"1890","","","","","","","","","","","","","3.1468223571777343","3.1468223571777343","3.1468223571777343","383","383","383","","","","","",""
"1900","","","","","","","","","","","","","3.178880500793457","3.178880500793457","3.178880500793457","385","385","385","","","","","",""
"1910","","","","","","","","","","","","","3.2378578186035156","3.2378578186035156","3.2378578186035156","387","387","387","","","","","",""
"1920","","","","","","","","","","","","","3.1338424682617188","3.1338424682617188","3.1338424682617188","389","389","389","","","","","",""
"1930","","","","","","","","","","","","","3.2251865386962892","3.2251865386962892","3.2251865386962892","391","391","391","","","","","",""
"1940","","","","","","","","","","","","","3.094350814819336","3.094350814819336","3.094350814819336","393","393","393","","","","","",""
"1950","","","","","","","","","","","","","3.144858551025391","3.144858551025391","3.144858551025391","395","395","395","","","","","",""
"1960","","","","","","","","","","","","","3.1797595977783204","3.1797595977783204","3.1797595977783204","397","397","397","","","","","",""
"1970","","","","","","","","","","","","","3.1177797317504883","3.1177797317504883","3.1177797317504883","399","399","399","","","","","",""
"1980","","","","","","","","","","","","","3.0856306076049806","3.0856306076049806","3.0856306076049806","401","401","401","","","","","",""
"1990","","","","","","","","","","","","","3.183907318115234","3.183907318115234","3.183907318115234","403","403","403","","","","","",""
"2000","","","","","","","","","","","","","0","0","0","406","406","406","","","","","",""
"2010","","","","","","","","","","","","","3.187610626220703","3.187610626220703","3.187610626220703","408","408","408","","","","","",""
"2020","","","","","","","","","","","","","3.171307373046875","3.171307373046875","3.171307373046875","410","410","410","","","","","",""
"2030","","","","","","","","","","","","","3.0887596130371096","3.0887596130371096","3.0887596130371096","412","412","412","","","","","",""
