"train/global_step","glad-glitter-9 - train/bpt","glad-glitter-9 - train/bpt__MIN","glad-glitter-9 - train/bpt__MAX","glad-glitter-9 - _step","glad-glitter-9 - _step__MIN","glad-glitter-9 - _step__MAX","sleek-moon-7 - train/bpt","sleek-moon-7 - train/bpt__MIN","sleek-moon-7 - train/bpt__MAX","sleek-moon-7 - _step","sleek-moon-7 - _step__MIN","sleek-moon-7 - _step__MAX","magic-universe-6 - train/bpt","magic-universe-6 - train/bpt__MIN","magic-universe-6 - train/bpt__MAX","magic-universe-6 - _step","magic-universe-6 - _step__MIN","magic-universe-6 - _step__MAX","visionary-oath-5 - train/bpt","visionary-oath-5 - train/bpt__MIN","visionary-oath-5 - train/bpt__MAX","visionary-oath-5 - _step","visionary-oath-5 - _step__MIN","visionary-oath-5 - _step__MAX"
"1250","","","","","","","","","","","","","4.6305406917802605","4.6305406917802605","4.6305406917802605","254","254","254","","","","","",""
"1260","","","","","","","","","","","","","4.621601996691257","4.621601996691257","4.621601996691257","256","256","256","","","","","",""
"1270","","","","","","","","","","","","","4.495004053943815","4.495004053943815","4.495004053943815","258","258","258","","","","","",""
"1280","","","","","","","","","","","","","4.633185647364409","4.633185647364409","4.633185647364409","260","260","260","","","","","",""
"1290","","","","","","","","","","","","","4.690915682917072","4.690915682917072","4.690915682917072","262","262","262","","","","","",""
"1300","","","","","","","","","","","","","4.579416165881937","4.579416165881937","4.579416165881937","264","264","264","","","","","",""
"1310","","","","","","","","","","","","","4.586483964901794","4.586483964901794","4.586483964901794","266","266","266","","","","","",""
"1320","","","","","","","","","","","","","4.6689745490783565","4.6689745490783565","4.6689745490783565","268","268","268","","","","","",""
"1330","","","","","","","","","","","","","4.697832412376411","4.697832412376411","4.697832412376411","270","270","270","","","","","",""
"1340","","","","","","","","","","","","","4.584559685417822","4.584559685417822","4.584559685417822","272","272","272","","","","","",""
"1350","","","","","","","","","","","","","4.59088011663009","4.59088011663009","4.59088011663009","274","274","274","","","","","",""
"1360","","","","","","","","","","","","","4.57815697770538","4.57815697770538","4.57815697770538","276","276","276","","","","","",""
"1370","","","","","","","","","","","","","4.692986629205701","4.692986629205701","4.692986629205701","278","278","278","","","","","",""
"1380","","","","","","","","","","","","","4.585951781786965","4.585951781786965","4.585951781786965","280","280","280","","","","","",""
"1390","","","","","","","","","","","","","4.612601663020183","4.612601663020183","4.612601663020183","282","282","282","","","","","",""
"1400","","","","","","","","","","","","","4.629473023483704","4.629473023483704","4.629473023483704","284","284","284","","","","","",""
"1410","","","","","","","","","","","","","4.575341140159333","4.575341140159333","4.575341140159333","286","286","286","","","","","",""
"1420","","","","","","","","","","","","","4.698611700164001","4.698611700164001","4.698611700164001","288","288","288","","","","","",""
"1430","","","","","","","","","","","","","4.621877719277119","4.621877719277119","4.621877719277119","290","290","290","","","","","",""
"1440","","","","","","","","","","","","","4.62116832523884","4.62116832523884","4.62116832523884","292","292","292","","","","","",""
"1450","","","","","","","","","","","","","4.64373024765411","4.64373024765411","4.64373024765411","294","294","294","","","","","",""
"1460","","","","","","","","","","","","","4.582300521316087","4.582300521316087","4.582300521316087","296","296","296","","","","","",""
"1470","","","","","","","","","","","","","4.523555650537213","4.523555650537213","4.523555650537213","298","298","298","","","","","",""
"1480","","","","","","","","","","","","","4.503575118918335","4.503575118918335","4.503575118918335","300","300","300","","","","","",""
"1490","","","","","","","","","","","","","4.584463650305579","4.584463650305579","4.584463650305579","302","302","302","","","","","",""
"1500","","","","","","","","","","","","","0","0","0","305","305","305","","","","","",""
"1510","","","","","","","","","","","","","4.635013891736142","4.635013891736142","4.635013891736142","307","307","307","","","","","",""
"1520","","","","","","","","","","","","","4.593203946208548","4.593203946208548","4.593203946208548","309","309","309","","","","","",""
"1530","","","","","","","","","","","","","4.649889152760688","4.649889152760688","4.649889152760688","311","311","311","","","","","",""
"1540","","","","","","","","","","","","","4.624753819544028","4.624753819544028","4.624753819544028","313","313","313","","","","","",""
"1550","","","","","","","","","","","","","4.590600266460606","4.590600266460606","4.590600266460606","315","315","315","","","","","",""
"1560","","","","","","","","","","","","","4.470671673327503","4.470671673327503","4.470671673327503","317","317","317","","","","","",""
"1570","","","","","","","","","","","","","4.566422257471709","4.566422257471709","4.566422257471709","319","319","319","","","","","",""
"1580","","","","","","","","","","","","","4.538555839759347","4.538555839759347","4.538555839759347","321","321","321","","","","","",""
"1590","","","","","","","","","","","","","4.511978879170095","4.511978879170095","4.511978879170095","323","323","323","","","","","",""
"1600","","","","","","","","","","","","","4.533010568751047","4.533010568751047","4.533010568751047","325","325","325","","","","","",""
"1610","","","","","","","","","","","","","4.493794671942948","4.493794671942948","4.493794671942948","327","327","327","","","","","",""
"1620","","","","","","","","","","","","","4.605774639711533","4.605774639711533","4.605774639711533","329","329","329","","","","","",""
"1630","","","","","","","","","","","","","4.549747645160775","4.549747645160775","4.549747645160775","331","331","331","","","","","",""
"1640","","","","","","","","","","","","","4.518115220152881","4.518115220152881","4.518115220152881","333","333","333","","","","","",""
"1650","","","","","","","","","","","","","4.498923057005556","4.498923057005556","4.498923057005556","335","335","335","","","","","",""
"1660","","","","","","","","","","","","","4.5883177127183545","4.5883177127183545","4.5883177127183545","337","337","337","","","","","",""
"1670","","","","","","","","","","","","","4.586181825780759","4.586181825780759","4.586181825780759","339","339","339","","","","","",""
"1680","","","","","","","","","","","","","4.640386904921336","4.640386904921336","4.640386904921336","341","341","341","","","","","",""
"1690","","","","","","","","","","","","","4.5678363676201625","4.5678363676201625","4.5678363676201625","343","343","343","","","","","",""
"1700","","","","","","","","","","","","","4.439854033326337","4.439854033326337","4.439854033326337","345","345","345","","","","","",""
"1710","","","","","","","","","","","","","4.398950780334092","4.398950780334092","4.398950780334092","347","347","347","","","","","",""
"1720","","","","","","","","","","","","","4.5726994866420805","4.5726994866420805","4.5726994866420805","349","349","349","","","","","",""
"1730","","","","","","","","","","","","","4.676551141572527","4.676551141572527","4.676551141572527","351","351","351","","","","","",""
"1740","","","","","","","","","","","","","4.631328234735091","4.631328234735091","4.631328234735091","353","353","353","","","","","",""
"1750","","","","","","","","","","","","","4.56001817389806","4.56001817389806","4.56001817389806","355","355","355","","","","","",""
"1760","","","","","","","","","","","","","4.580387799066251","4.580387799066251","4.580387799066251","357","357","357","","","","","",""
"1770","","","","","","","","","","","","","4.492354420431562","4.492354420431562","4.492354420431562","359","359","359","","","","","",""
"1780","","","","","","","","","","","","","4.597082774123048","4.597082774123048","4.597082774123048","361","361","361","","","","","",""
"1790","","","","","","","","","","","","","4.631447109143367","4.631447109143367","4.631447109143367","363","363","363","","","","","",""
"1800","","","","","","","","","","","","","4.4771093279146","4.4771093279146","4.4771093279146","365","365","365","","","","","",""
"1810","","","","","","","","","","","","","4.5772054320946856","4.5772054320946856","4.5772054320946856","367","367","367","","","","","",""
"1820","","","","","","","","","","","","","4.462318269595916","4.462318269595916","4.462318269595916","369","369","369","","","","","",""
"1830","","","","","","","","","","","","","4.607196454682746","4.607196454682746","4.607196454682746","371","371","371","","","","","",""
"1840","","","","","","","","","","","","","4.616251822802095","4.616251822802095","4.616251822802095","373","373","373","","","","","",""
"1850","","","","","","","","","","","","","4.59001112269181","4.59001112269181","4.59001112269181","375","375","375","","","","","",""
"1860","","","","","","","","","","","","","4.576915950896754","4.576915950896754","4.576915950896754","377","377","377","","","","","",""
"1870","","","","","","","","","","","","","4.4246733311138575","4.4246733311138575","4.4246733311138575","379","379","379","","","","","",""
"1880","","","","","","","","","","","","","4.5662169789796385","4.5662169789796385","4.5662169789796385","381","381","381","","","","","",""
"1890","","","","","","","","","","","","","4.5399050092588356","4.5399050092588356","4.5399050092588356","383","383","383","","","","","",""
"1900","","","","","","","","","","","","","4.586155134073345","4.586155134073345","4.586155134073345","385","385","385","","","","","",""
"1910","","","","","","","","","","","","","4.671241418002849","4.671241418002849","4.671241418002849","387","387","387","","","","","",""
"1920","","","","","","","","","","","","","4.52117898788841","4.52117898788841","4.52117898788841","389","389","389","","","","","",""
"1930","","","","","","","","","","","","","4.652960625318977","4.652960625318977","4.652960625318977","391","391","391","","","","","",""
