"train/global_step","glad-glitter-9 - train/grad_norm","glad-glitter-9 - train/grad_norm__MIN","glad-glitter-9 - train/grad_norm__MAX","glad-glitter-9 - _step","glad-glitter-9 - _step__MIN","glad-glitter-9 - _step__MAX","sleek-moon-7 - train/grad_norm","sleek-moon-7 - train/grad_norm__MIN","sleek-moon-7 - train/grad_norm__MAX","sleek-moon-7 - _step","sleek-moon-7 - _step__MIN","sleek-moon-7 - _step__MAX","magic-universe-6 - train/grad_norm","magic-universe-6 - train/grad_norm__MIN","magic-universe-6 - train/grad_norm__MAX","magic-universe-6 - _step","magic-universe-6 - _step__MIN","magic-universe-6 - _step__MAX","visionary-oath-5 - train/grad_norm","visionary-oath-5 - train/grad_norm__MIN","visionary-oath-5 - train/grad_norm__MAX","visionary-oath-5 - _step","visionary-oath-5 - _step__MIN","visionary-oath-5 - _step__MAX"
"1550","","","","","","","","","","","","","0.23268064856529236","0.23268064856529236","0.23268064856529236","314","314","314","","","","","",""
"1560","","","","","","","","","","","","","0.2362157106399536","0.2362157106399536","0.2362157106399536","316","316","316","","","","","",""
"1570","","","","","","","","","","","","","0.23238973319530487","0.23238973319530487","0.23238973319530487","318","318","318","","","","","",""
"1580","","","","","","","","","","","","","0.23069150745868683","0.23069150745868683","0.23069150745868683","320","320","320","","","","","",""
"1590","","","","","","","","","","","","","0.22828899323940277","0.22828899323940277","0.22828899323940277","322","322","322","","","","","",""
"1600","","","","","","","","","","","","","0.2923891544342041","0.2923891544342041","0.2923891544342041","324","324","324","","","","","",""
"1610","","","","","","","","","","","","","0.2656371593475342","0.2656371593475342","0.2656371593475342","326","326","326","","","","","",""
"1620","","","","","","","","","","","","","0.25938281416893005","0.25938281416893005","0.25938281416893005","328","328","328","","","","","",""
"1630","","","","","","","","","","","","","0.26532503962516785","0.26532503962516785","0.26532503962516785","330","330","330","","","","","",""
"1640","","","","","","","","","","","","","0.24455325305461884","0.24455325305461884","0.24455325305461884","332","332","332","","","","","",""
"1650","","","","","","","","","","","","","0.25278908014297485","0.25278908014297485","0.25278908014297485","334","334","334","","","","","",""
"1660","","","","","","","","","","","","","0.2936680316925049","0.2936680316925049","0.2936680316925049","336","336","336","","","","","",""
"1670","","","","","","","","","","","","","0.2893199920654297","0.2893199920654297","0.2893199920654297","338","338","338","","","","","",""
"1680","","","","","","","","","","","","","0.24375824630260468","0.24375824630260468","0.24375824630260468","340","340","340","","","","","",""
"1690","","","","","","","","","","","","","0.27696606516838074","0.27696606516838074","0.27696606516838074","342","342","342","","","","","",""
"1700","","","","","","","","","","","","","0.3049372732639313","0.3049372732639313","0.3049372732639313","344","344","344","","","","","",""
"1710","","","","","","","","","","","","","0.24233709275722504","0.24233709275722504","0.24233709275722504","346","346","346","","","","","",""
"1720","","","","","","","","","","","","","0.2932756543159485","0.2932756543159485","0.2932756543159485","348","348","348","","","","","",""
"1730","","","","","","","","","","","","","0.2606429159641266","0.2606429159641266","0.2606429159641266","350","350","350","","","","","",""
"1740","","","","","","","","","","","","","0.2605569660663605","0.2605569660663605","0.2605569660663605","352","352","352","","","","","",""
"1750","","","","","","","","","","","","","0.2443111091852188","0.2443111091852188","0.2443111091852188","354","354","354","","","","","",""
"1760","","","","","","","","","","","","","0.26972657442092896","0.26972657442092896","0.26972657442092896","356","356","356","","","","","",""
"1770","","","","","","","","","","","","","0.23897983133792877","0.23897983133792877","0.23897983133792877","358","358","358","","","","","",""
"1780","","","","","","","","","","","","","0.2572866380214691","0.2572866380214691","0.2572866380214691","360","360","360","","","","","",""
"1790","","","","","","","","","","","","","0.27258285880088806","0.27258285880088806","0.27258285880088806","362","362","362","","","","","",""
"1800","","","","","","","","","","","","","0.28432804346084595","0.28432804346084595","0.28432804346084595","364","364","364","","","","","",""
"1810","","","","","","","","","","","","","0.2489461749792099","0.2489461749792099","0.2489461749792099","366","366","366","","","","","",""
"1820","","","","","","","","","","","","","0.2388162761926651","0.2388162761926651","0.2388162761926651","368","368","368","","","","","",""
"1830","","","","","","","","","","","","","0.2742212116718292","0.2742212116718292","0.2742212116718292","370","370","370","","","","","",""
"1840","","","","","","","","","","","","","0.2378917783498764","0.2378917783498764","0.2378917783498764","372","372","372","","","","","",""
"1850","","","","","","","","","","","","","0.26435545086860657","0.26435545086860657","0.26435545086860657","374","374","374","","","","","",""
"1860","","","","","","","","","","","","","0.24112509191036224","0.24112509191036224","0.24112509191036224","376","376","376","","","","","",""
"1870","","","","","","","","","","","","","0.27056577801704407","0.27056577801704407","0.27056577801704407","378","378","378","","","","","",""
"1880","","","","","","","","","","","","","0.2584484815597534","0.2584484815597534","0.2584484815597534","380","380","380","","","","","",""
"1890","","","","","","","","","","","","","0.2557732164859772","0.2557732164859772","0.2557732164859772","382","382","382","","","","","",""
"1900","","","","","","","","","","","","","0.2433292269706726","0.2433292269706726","0.2433292269706726","384","384","384","","","","","",""
"1910","","","","","","","","","","","","","0.29612740874290466","0.29612740874290466","0.29612740874290466","386","386","386","","","","","",""
"1920","","","","","","","","","","","","","0.2488214522600174","0.2488214522600174","0.2488214522600174","388","388","388","","","","","",""
"1930","","","","","","","","","","","","","0.25903698801994324","0.25903698801994324","0.25903698801994324","390","390","390","","","","","",""
"1940","","","","","","","","","","","","","0.23369525372982025","0.23369525372982025","0.23369525372982025","392","392","392","","","","","",""
"1950","","","","","","","","","","","","","0.2437189817428589","0.2437189817428589","0.2437189817428589","394","394","394","","","","","",""
"1960","","","","","","","","","","","","","0.25472524762153625","0.25472524762153625","0.25472524762153625","396","396","396","","","","","",""
"1970","","","","","","","","","","","","","0.2762105464935303","0.2762105464935303","0.2762105464935303","398","398","398","","","","","",""
"1980","","","","","","","","","","","","","0.2814968526363373","0.2814968526363373","0.2814968526363373","400","400","400","","","","","",""
"1990","","","","","","","","","","","","","0.2745349109172821","0.2745349109172821","0.2745349109172821","402","402","402","","","","","",""
