"train/global_step","glad-glitter-9 - _step","glad-glitter-9 - _step__MIN","glad-glitter-9 - _step__MAX","sleek-moon-7 - _step","sleek-moon-7 - _step__MIN","sleek-moon-7 - _step__MAX","magic-universe-6 - _step","magic-universe-6 - _step__MIN","magic-universe-6 - _step__MAX","visionary-oath-5 - _step","visionary-oath-5 - _step__MIN","visionary-oath-5 - _step__MAX"
"5230","46.5","46","47","248.5","248","249","","","","","",""
"5240","48.5","48","49","250.5","250","251","","","","","",""
"5250","50.5","50","51","252.5","252","253","","","","","",""
"5260","52.5","52","53","254.5","254","255","","","","","",""
"5270","54.5","54","55","256.5","256","257","","","","","",""
"5280","56.5","56","57","258.5","258","259","","","","","",""
"5290","58.5","58","59","260.5","260","261","","","","","",""
"5300","60.5","60","61","262.5","262","263","","","","","",""
"5310","62.5","62","63","264.5","264","265","","","","","",""
"5320","64.5","64","65","266.5","266","267","","","","","",""
"5330","66.5","66","67","268.5","268","269","","","","","",""
"5340","68.5","68","69","270.5","270","271","","","","","",""
"5350","70.5","70","71","272.5","272","273","","","","","",""
"5360","72.5","72","73","274.5","274","275","","","","","",""
"5370","74.5","74","75","276.5","276","277","","","","","",""
"5380","76.5","76","77","278.5","278","279","","","","","",""
"5390","78.5","78","79","280.5","280","281","","","","","",""
"5400","80.5","80","81","282.5","282","283","","","","","",""
"5410","82.5","82","83","284.5","284","285","","","","","",""
"5420","84.5","84","85","286.5","286","287","","","","","",""
"5430","86.5","86","87","288.5","288","289","","","","","",""
"5440","88.5","88","89","290.5","290","291","","","","","",""
"5450","90.5","90","91","292.5","292","293","","","","","",""
"5460","92.5","92","93","294.5","294","295","","","","","",""
"5470","94.5","94","95","296.5","296","297","","","","","",""
"5480","96.5","96","97","298.5","298","299","","","","","",""
"5490","98.5","98","99","300.5","300","301","","","","","",""
"5500","101","100","102","302","302","302","","","","","",""
"5510","103.5","103","104","","","","","","","","",""
"5520","105.5","105","106","","","","","","","","",""
"5530","107.5","107","108","","","","","","","","",""
"5540","109.5","109","110","","","","","","","","",""
"5550","111.5","111","112","","","","","","","","",""
"5560","113.5","113","114","","","","","","","","",""
"5570","115.5","115","116","","","","","","","","",""
"5580","117.5","117","118","","","","","","","","",""
"5590","119.5","119","120","","","","","","","","",""
"5600","121.5","121","122","","","","","","","","",""
"5610","123.5","123","124","","","","","","","","",""
"5620","125.5","125","126","","","","","","","","",""
"5630","127.5","127","128","","","","","","","","",""
"5640","129.5","129","130","","","","","","","","",""
"5650","131.5","131","132","","","","","","","","",""
